iter	Passed	Remaining
764	7081	2175
765	7090	2166
766	7098	2156
767	7106	2146
768	7114	2137
769	7122	2127
770	7130	2117
771	7138	2108
772	7146	2098
773	7154	2089
774	7163	2079
775	7171	2070
776	7181	2061
777	7190	2051
778	7199	2042
779	7207	2032
780	7216	2023
781	7224	2014
782	7237	2005
783	7246	1996
784	7255	1987
785	7263	1977
786	7272	1968
787	7280	1958
788	7289	1949
789	7297	1939
790	7305	1930
791	7314	1920
792	7322	1911
793	7330	1901
794	7339	1892
795	7347	1883
796	7356	1873
797	7364	1864
798	7372	1854
799	7380	1845
800	7388	1835
801	7397	1826
802	7409	1817
803	7418	1808
804	7427	1799
805	7435	1789
806	7444	1780
807	7453	1771
808	7461	1761
809	7471	1752
810	7479	1743
811	7487	1733
812	7496	1724
813	7505	1715
814	7514	1705
815	7523	1696
816	7532	1687
817	7541	1677
818	7549	1668
819	7558	1659
820	7566	1649
821	7575	1640
822	7584	1631
823	7592	1621
824	7601	1612
825	7609	1603
826	7618	1593
827	7626	1584
828	7635	1574
829	7643	1565
830	7651	1556
831	7659	1546
832	7667	1537
833	7675	1527
834	7684	1518
835	7693	1509
836	7701	1499
837	7709	1490
838	7718	1481
839	7726	1471
840	7735	1462
841	7744	1453
842	7752	1443
843	7761	1434
844	7770	1425
845	7778	1415
846	7787	1406
847	7795	1397
848	7805	1388
849	7813	1378
850	7821	1369
851	7830	1360
852	7839	1351
853	7848	1341
854	7857	1332
855	7866	1323
856	7874	1314
857	7883	1304
858	7892	1295
859	7902	1286
860	7912	1277
861	7924	1268
862	7932	1259
863	7940	1249
864	7949	1240
865	7957	1231
866	7966	1222
867	7975	1212
868	7983	1203
869	7991	1194
870	8000	1184
871	8007	1175
872	8016	1166
873	8023	1156
874	8032	1147
875	8040	1138
876	8048	1128
877	8056	1119
878	8064	1110
879	8072	1100
880	8080	1091
881	8088	1082
882	8096	1072
883	8105	1063
884	8113	1054
885	8121	1044
886	8129	1035
887	8146	1027
888	8162	1019
889	8173	1010
890	8183	1001
891	8193	992
892	8203	982
893	8214	973
894	8233	965
895	8250	957
896	8264	948
897	8278	940
898	8288	931
899	8302	922
900	8312	913
901	8322	904
902	8337	895
903	8352	886
904	8371	878
905	8384	869
906	8402	861
907	8416	852
908	8428	843
909	8440	834
910	8451	825
911	8472	817
912	8485	808
913	8496	799
914	8507	790
915	8518	781
916	8530	772
917	8542	763
918	8557	754
919	8571	745
920	8584	736
921	8597	727
922	8609	718
923	8623	709
924	8638	700
925	8651	691
926	8664	682
927	8674	673
928	8685	663
929	8701	654
930	8712	645
931	8725	636
932	8735	627
933	8745	617
934	8755	608
935	8765	599
936	8774	589
937	8784	580
938	8793	571
939	8802	561
940	8815	552
941	8823	543
942	8832	533
943	8842	524
944	8851	515
945	8860	505
946	8870	496
947	8879	487
948	8892	477
949	8901	468
950	8909	459
951	8919	449
952	8929	440
953	8939	431
954	8949	421
955	8959	412
956	8968	402
957	8978	393
958	8987	384
959	8996	374
960	9004	365
961	9013	356
962	9022	346
963	9031	337
964	9040	327
965	9049	318
966	9058	309
967	9068	299
968	9079	290
969	9091	281
970	9100	271
971	9111	262
972	9120	253
973	9130	243
974	9139	234
975	9148	224
976	9159	215
977	9172	206
978	9183	196
979	9195	187
980	9206	178
981	9217	168
982	9230	159
983	9240	150
984	9253	140
985	9265	131
986	9275	122
987	9291	112
988	9306	103
989	9324	94
990	9338	84
991	9352	75
992	9365	66
993	9386	56
994	9397	47
995	9412	37
996	9424	28
997	9437	18
998	9450	9
999	9467	0
